Identification Number,First Name,Last Name,Date of Birth,Address,PhoneNumber,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
79,Daniel,A,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,1157.56,2078,6364.79,3078,7985.0,-786.93
49,Derek,Aguirre,5-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,1845.56,2048,3352.49,3048,8899.0,-58.57
18,Jafar,Aladdin,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,518.07,2017,2220.54,3017,3029.0,-406.48
76,Nathan,Aun,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,1352.3,2075,132.29,3075,8789.0,-1240.71
38,Alex,Avila,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,85.09,2037,516.33,3037,3484.0,-1827.58
80,Daniel,B,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,362.4,2079,2413.6,3079,8357.0,-1911.51
54,Gavin,Baechle,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,1734.37,2053,4768.87,3053,5352.0,-886.85
48,David,Baptiste,5-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,1076.98,2047,3271.72,3047,7772.0,-281.86
39,Alfonso,Beltran,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,474.39,2038,3447.36,3038,3177.0,-866.29
47,Dafne,Bencomo,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,519.88,2046,1812.87,3046,8798.0,-1863.49
64,Laura,Blanco,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,1506.74,2063,4347.22,3063,6487.0,-1050.73
44,Brandon,Bustamante,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,355.39,2043,3764.74,3043,6698.0,-1452.54
81,Daniel,C,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,909.74,2080,342.74,3080,9400.0,-505.4
45,Cesar,Cabrera,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,1806.19,2044,1685.66,3044,9182.0,-1906.17
73,Roberto,Carrasco,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,1152.39,2072,2408.91,3072,9319.0,-160.0
66,Lidice,Castro,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,1942.67,2065,655.67,3065,4080.0,-1930.17
41,Alyssandra,Cordero,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,1169.49,2040,1375.06,3040,5166.0,-1725.64
82,Daniel,D,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,731.6,2081,3235.49,3081,9172.0,-883.24
70,Minh,Dang,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,623.42,2069,1691.78,3069,5351.0,-1966.94
22,Cruella,De,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,1132.61,2021,4261.53,3021,7949.0,-319.71
71,Oscar,Decena,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,1450.22,2070,529.74,3070,8674.0,-689.71
4,Goofy,Disney,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,1456.69,2003,884.26,3003,8647.0,-141.39
